Text#,Title,Authors,LoCC,genre
60248,The Messiah of the Cylinder,"Emanuel, V. R. (Victor Rousseau), 1879-1960; Coll, Joseph Clement, 1881-1921 [Illustrator]",PS,fiction
18677,The Ghost of Jerry Bundler,"Jacobs, W. W. (William Wymark), 1863-1943; Rock, Charles, 1866-1919",PR,fiction
77347,The Pony Express rider,"McCain, Earl C., 1890-1979",PS,fiction
69817,A kiss for Cinderella: A comedy,"Barrie, J. M. (James Matthew), 1860-1937",PR,fiction
75488,The purple sickle murders,"Crofts, Freeman Wills, 1879-1957",PR,fiction
58440,Index of the Project Gutenberg Works of Amelia Barr,"Barr, Amelia E., 1831-1919; Widger, David, 1932-2021? [Editor]",PS,fiction
41184,Whither Thou Goest,"Le Queux, William, 1864-1927",PR,fiction
21008,The Boy With the U. S. Fisheries,"Rolt-Wheeler, Francis, 1876-1960",PZ,fiction
44928,The Liberty Girl,"Halsey, Rena I., 1860-1932; Bickford, Nana French, 1886-1959 [Illustrator]",PZ,fiction
63702,Mary Anonymous,"Walton, Bryce, 1918-1988; Emshwiller, Ed, 1925-1990 [Illustrator]",PS,fiction
25985,Bardell v. Pickwick,"Fitzgerald, Percy, 1834-1925; Dickens, Charles, 1812-1870",PR,fiction
400,"Helen of Troy, and Other Poems","Teasdale, Sara, 1884-1933",PS,fiction
14034,King Alfred's Viking: A Story of the First English Fleet,"Whistler, Charles W. (Charles Watts), 1856-1913",PZ,fiction
75155,Silver linings,"Collie, Ruth, 1889-1936",PR,fiction
41513,The New Boys at Oakdale,"Scott, Morgan; Scott, A. O. (Arthur Orange), 1882?-1946 [Illustrator]",PZ,fiction
32464,A Supplication for the Beggars,"Fish, Simon, -1531; Arber, Edward, 1836-1912 [Editor]",PR,fiction
25960,The Desert Fiddler,"Hamby, William H. (William Henry), 1876-1928",PS,fiction
13453,The Testing of Diana Mallory,"Ward, Humphry, Mrs., 1851-1920; Hatherell, William, 1855-1928 [Illustrator]",PR,fiction
20477,"The Book of Ballads, edited by Bon Gaultier [pseud.]","Martin, Theodore, Sir, 1816-1909; Aytoun, William Edmondstoune, 1813-1865; Crowquill, Alfred, 1804-1872 [Illustrator]; Doyle, Richard, 1824-1883 [Illustrator]; Leech, John, 1817-1864 [Illustrator]",PR,fiction
76474,A year in China,"Williams, Martha Noyes, 1813-1879; Bryant, William Cullen, 1794-1878 [Author of introduction, etc.]",DS,nonfiction
36639,"Chickamauga. Useless, Disastrous Battle","Atkins, Smith D. (Smith Dykins), 1836-1913",E456,nonfiction
11174,"Four Great Americans: Washington, Franklin, Webster, Lincoln
A Book for Young Americans","Baldwin, James, 1841-1925",E151,nonfiction
10345,Domestic Manners of the Americans,"Trollope, Frances Milton, 1780-1863",E151,nonfiction
40285,The Syrian Christ,"Rihbany, Abraham Mitrie, 1869-1944",BT,nonfiction
10693,"A Political Diary, 1828-1830, Volume II","Ellenborough, Edward Law, Earl of, 1790-1871; Colchester, Reginald Charles Edward Abbot, 3d Baron, 1842-1919 [Editor]",DA,nonfiction
38716,Slavery and the Constitution,"Bowditch, William I. (William Ingersoll), 1819-1909",E300,nonfiction
37358,Determinism or Free-Will?,"Cohen, Chapman, 1868-1954",BJ,nonfiction
59033,"Popular Romances of the West of England, Second Series
or, The Drolls, Traditions, and Superstitions of Old Cornwall","Hunt, Robert, 1807-1887",GR,nonfiction
28983,How Girls Can Help Their Country,"Low, Juliette Gordon, 1860-1927; Baden-Powell, Agnes, 1858-1945; Baden-Powell of Gilwell, Robert Stephenson Smyth Baden-Powell, Baron, 1857-1941",HS,nonfiction
4389,Roughing It in the Bush,"Moodie, Susanna, 1803-1885",F1001,nonfiction
72351,Travels in the footsteps of Bruce in Algeria and Tunis,"Playfair, R. Lambert (Robert Lambert), Sir, 1828-1899",DT,nonfiction
46319,The vale of Lyvennet,"Bland, John Salkeld, 1839-1867; Parker, F. H. M. (Francis Henry Mervyn), 1873-1911 [Editor]",DA,nonfiction
52996,Selected Articles on the Parcels Post,"Phelps, Edith M., 1881-1980 [Compiler]",HE,nonfiction
13388,"The Religious Spirit of the Slavs
Three Lectures Given in Lent, 1916","Velimirović, Nikolaj, 1880-1956",BR,nonfiction
40163,"Árminius Vambéry, his life and adventures","Vámbéry, Ármin, 1832-1913",DS,nonfiction
8412,"Seeing Europe with Famous Authors, Volume 3
France and the Netherlands, Part 1","Halsey, Francis W. (Francis Whiting), 1851-1919 [Editor]",DC; DJ,nonfiction
54335,The Women of Mormondom,"Tullidge, Edward W. (Edward William), 1829-1894",BX; HQ,nonfiction
32202,The Irish Fairy Book,"Graves, Alfred Perceval, 1846-1931 [Editor]; Denham, George, 1880-1917 [Illustrator]",GR; PZ,nonfiction
61423,"Cesare Lombroso, a modern man of science","Kurella, Hans, 1858-1916; Paul, Eden, 1865-1944 [Translator]",HV,nonfiction
60426,"History of Greece, Volume 04 (of 12)","Grote, George, 1794-1871",DF,nonfiction
38858,Pictures of Canadian Life: A Record of Actual Experiences,"Ritchie, J. Ewing (James Ewing), 1820-1898",F1001,nonfiction
56843,Silanus the Christian,"Abbott, Edwin Abbott, 1838-1926",BR; PR,nonfiction
20111,With Those Who Wait,"Huard, Frances Wilson, 1885-1969",D501,nonfiction
70129,General Washington's spies on Long Island and in New York,"Pennypacker, Morton, 1872-1956",E201,nonfiction
7080,"Speeches on Questions of Public Policy, Volume 1","Bright, John, 1811-1889; Rogers, James E. Thorold (James Edwin Thorold), 1823-1890 [Editor]",DA,nonfiction
4805,The Rise of the Dutch Republic — Volume 05: 1559-60,"Motley, John Lothrop, 1814-1877",DH,nonfiction
65097,"The Journal of Speculative Philosophy, Vol. I, Nos. 1-4, 1867","Various; Harris, William Torrey, 1835-1909 [Editor]",B,nonfiction
24737,The Children of Odin: The Book of Northern Myths,"Colum, Padraic, 1881-1972; Pogány, Willy, 1882-1955 [Illustrator]",BL; PZ,nonfiction
77554,Coffee merchandising,"Ukers, William H. (William Harrison), 1873-1945",HD,nonfiction
31862,"The Story of Sitka
The Historic Outpost of the Northwest Coast; The Chief Factory of the Russian American Company","Andrews, Clarence Leroy, 1862-1948",F850.5,nonfiction
8505,"Normandy: The Scenery & Romance of Its Ancient Towns, Complete","Home, Gordon, 1878-1969",DC,nonfiction
25341,"The 28th: A Record of War Service in the Australian Imperial Force, 1915-19, Vol. I
Egypt, Gallipoli, Lemnos Island, Sinai Peninsula","Collett, Herbert Brayley, 1877-1947",D501,nonfiction
11013,"Letters of a Traveller; Or, Notes of Things Seen in Europe and America","Bryant, William Cullen, 1794-1878",G,nonfiction
40293,Vie de Bohème: A Patch of Romantic Paris,"Williams, Orlo, 1883-",DC,nonfiction
30608,Christology of the Old Testament: And a Commentary on the Messianic Predictions. Vol. 2,"Hengstenberg, Ernst Wilhelm, 1802-1869; Meyer, Theodore [Translator]",BT,nonfiction
45931,"Wounded and a Prisoner of War, by an Exchanged Officer","Hay, Malcolm V. (Malcolm Vivian), 1881-1962",D501,nonfiction
62221,"Our Sabbaths in Danger
A Sermon, deprecating the contemplated opening of the Crystal Palace on the Lord's-Day","Moore, Daniel, 1809-1899",BV,nonfiction
39112,The Blessed Hope: A Sermon on the Death of Mrs. Francis Cunningham,"Hoare, Edward, 1812-1894",BV,nonfiction
17158,Armageddon—And After,"Courtney, W. L. (William Leonard), 1850-1928",D501,nonfiction
39539,"The Cambrian Sketch-Book: Tales, Scenes, and Legends of Wild Wales","Davies, R. Rice, -1882",GR,nonfiction
38408,The Captive in Patagonia,"Bourne, Benjamin Franklin, 1816-1874",F2801,nonfiction
22179,Old Rail Fence Corners: The A. B. C's. of Minnesota History,"Morris, Lucy Leavenworth Wilder, 1865-1935 [Editor]",F590.3,nonfiction
66220,"Mancala, the National Game of Africa","Culin, Stewart, 1858-1929",GV,nonfiction
29306,Afloat on the Ohio,"Thwaites, Reuben Gold, 1853-1913",F516,nonfiction
69852,"Westminster Abbey: The last days of the monastery as shown by the life and times of Abbot John Islip, 1464-1532","Westlake, H. F. (Herbert Francis), 1879-1925",BR,nonfiction
67811,Roosevelt in the Kansas City Star: War-time Editorials,"Roosevelt, Theodore, 1858-1919; Stout, Ralph, 1866-1926 [Author of introduction, etc.]",E740; D501,nonfiction
63556,Confessions of a Tradesman,"Bullen, Frank Thomas, 1857-1915",HF,nonfiction
7192,"Charles Philip Yorke, Fourth Earl of Hardwicke, Vice-Admiral R.N. — a Memoir","Biddulph, Elizabeth Philippa, Baroness, 1834-1916",DA,nonfiction
59593,"History of Denmark, Sweden, and Norway, Vol. 1 (of 2)","Dunham, S. A. (Samuel Astley), 1796-1858",DL,nonfiction
62144,"Letter to the Friends and Subscribers of the Church Pastoral-Aid Society
occasioned by a letter from the Rev. Dr. Molesworth","Whitefoord, Caleb, Rev., 1805-1890",BV,nonfiction
18048,"Football Days
Memories of the Game and of the Men behind the Ball","Edwards, William H. (William Hanford), 1876-",GV,nonfiction
52823,Psychology: an elementary text-book,"Ebbinghaus, Hermann, 1850-1909; Meyer, Max F. (Max Friedrich), 1873-1967 [Translator]",BF,nonfiction
72315,"Travels of Lady Hester Stanhope, Volume 2 (of 3)","Stanhope, Hester, Lady, 1776-1839; Meryon, Charles Lewis, 1783-1877 [Editor]",DS,nonfiction
26684,Piracy off the Florida Coast and Elsewhere,"Green, Samuel A. (Samuel Abbott), 1830-1918",F2155,nonfiction
17213,The Future of Islam,"Blunt, Wilfrid Scawen, 1840-1922",BP,nonfiction
46521,"Forty Years Among the Indians
A true yet thrilling narrative of the author's experiences among the natives","Jones, Daniel W. (Daniel Webster), 1830-1915",F590.3,nonfiction
40246,North Cornwall Fairies and Legends,"Tregarthen, Enys, 1851-1923",GR,nonfiction
29641,The business career in its public relations,"Shaw, Albert, 1857-1947",HF,nonfiction
62697,Atolls of the Sun,"O'Brien, Frederick, 1869-1932",DU,nonfiction
