dimension,group_value,author_nationality,Qwen_7B_mean_brier,Qwen_7B_std_brier,Qwen_7B_mean_accuracy,Qwen_7B_std_accuracy,Qwen_7B_n,Qwen_32B_mean_brier,Qwen_32B_std_brier,Qwen_32B_mean_accuracy,Qwen_32B_std_accuracy,Qwen_32B_n,n_questions,author_profession,source_genre,date_bin
author_profession,"evangelist, scientist, writer, and lecturer",,0.2193,0.0894,0.0833,0.2764,12,0.1845,0.0686,0.25,0.433,12,12,"evangelist, scientist, writer, and lecturer",,
author_profession,physician and professor,,0.1627,0.0613,0.0909,0.2875,11,0.1574,0.0624,0.2727,0.4454,11,11,physician and professor,,
author_profession,politician,,0.2407,0.0697,0.0909,0.2875,11,0.2183,0.0592,0.0,0.0,11,11,politician,,
author_profession,professor,,0.2187,0.0431,0.0,0.0,11,0.1841,0.0761,0.1818,0.3857,11,11,professor,,
author_profession,physician,,0.1876,0.07,0.2,0.4,10,0.1702,0.0583,0.1,0.3,10,10,physician,,
author_profession,unknown,,0.1403,0.0495,0.3333,0.4714,9,0.1464,0.0463,0.2222,0.4157,9,9,unknown,,
author_profession,"biographer, essayist, historian, novelist, poet",,0.2096,0.0498,0.125,0.3307,8,0.1889,0.0546,0.125,0.3307,8,8,"biographer, essayist, historian, novelist, poet",,
author_profession,diplomat and Presbyterian clergyman,,0.2115,0.0432,0.0,0.0,8,0.2109,0.044,0.0,0.0,8,8,diplomat and Presbyterian clergyman,,
source_genre,encyclopedia,,0.195,0.1031,0.25,0.433,144,0.1912,0.1013,0.3056,0.4606,144,144,,encyclopedia,
source_genre,novel,,0.2477,0.1036,0.1967,0.3975,61,0.2251,0.0926,0.1967,0.3975,61,61,,novel,
source_genre,textbook,,0.161,0.0782,0.3519,0.4775,54,0.1474,0.0713,0.4259,0.4945,54,54,,textbook,
source_genre,history,,0.2016,0.0533,0.0952,0.2935,21,0.1855,0.0698,0.1429,0.3499,21,21,,history,
source_genre,book of essays,,0.2164,0.0587,0.0667,0.2494,15,0.1918,0.0584,0.0667,0.2494,15,15,,book of essays,
source_genre,examination manual,,0.139,0.0564,0.5,0.5,14,0.1221,0.0577,0.6429,0.4792,14,14,,examination manual,
source_genre,book of poems,,0.1826,0.0658,0.2308,0.4213,13,0.1919,0.0563,0.3077,0.4615,13,13,,book of poems,
source_genre,hobbyist textbook,,0.2038,0.0759,0.1538,0.3608,13,0.2029,0.0744,0.2308,0.4213,13,13,,hobbyist textbook,
source_genre,science and religion discourse,,0.2193,0.0894,0.0833,0.2764,12,0.1845,0.0686,0.25,0.433,12,12,,science and religion discourse,
source_genre,debate,,0.2407,0.0697,0.0909,0.2875,11,0.2183,0.0592,0.0,0.0,11,11,,debate,
source_genre,journal,,0.1847,0.0719,0.1,0.3,10,0.1639,0.0562,0.1,0.3,10,10,,journal,
source_genre,memoir,,0.2069,0.1021,0.1,0.3,10,0.1704,0.1002,0.4,0.4899,10,10,,memoir,
source_genre,story for children,,0.2092,0.0763,0.1,0.3,10,0.2126,0.0806,0.2,0.4,10,10,,story for children,
source_genre,ethnology,,0.1403,0.0495,0.3333,0.4714,9,0.1464,0.0463,0.2222,0.4157,9,9,,ethnology,
source_genre,novel with ethnographic elements,,0.2055,0.0833,0.1111,0.3143,9,0.1996,0.073,0.2222,0.4157,9,9,,novel with ethnographic elements,
date_bin,1875-1899,,0.192,0.0851,0.247,0.4313,417,0.1832,0.0809,0.2806,0.4493,417,417,,,1875-1899
date_bin,1900-1924,,0.2066,0.0843,0.1375,0.3443,291,0.1891,0.0776,0.1821,0.386,291,291,,,1900-1924
date_bin,Other,,0.2147,nan,0.0,nan,1,0.2501,nan,0.0,nan,1,1,,,Other
