dimension,author_nationality,reasoning_type,Qwen_7B_mean_brier,Qwen_7B_mean_accuracy,Qwen_7B_n,Qwen_32B_mean_brier,Qwen_32B_mean_accuracy,Qwen_32B_n,source_genre,date_bin
source_genre,,phrase_cloze,0.1683,0.0,2,0.1525,0.0,2,collection of cases,
source_genre,,sentence_cloze,0.1187,0.6667,3,0.0894,0.6667,3,collection of cases,
source_genre,,phrase_cloze,0.1902,0.2,5,0.1692,0.2,5,collection of lectures about art,
source_genre,,sentence_cloze,0.2123,0.0,2,0.2051,0.0,2,collection of lectures about art,
source_genre,,constrained_generation,0.1575,0.0,1,0.15,0.0,1,collection of literary biographies,
source_genre,,phrase_cloze,0.1501,0.0,1,0.1421,0.0,1,collection of plays,
source_genre,,sentence_cloze,0.2009,0.0,1,0.1789,0.0,1,collection of plays,
source_genre,,phrase_cloze,0.1509,0.0,3,0.1447,0.3333,3,critical treatise,
source_genre,,sentence_cloze,0.1973,0.0,2,0.181,0.0,2,critical treatise,
source_genre,,phrase_cloze,0.2057,0.2,5,0.1807,0.2,5,cultural history,
source_genre,,sentence_cloze,0.2159,0.0,3,0.2026,0.0,3,cultural history,
source_genre,,constrained_generation,0.211,0.25,4,0.208,0.0,4,debate,
source_genre,,phrase_cloze,0.25,0.0,4,0.2302,0.0,4,debate,
source_genre,,sentence_cloze,0.2681,0.0,3,0.2163,0.0,3,debate,
source_genre,,phrase_cloze,0.2888,0.0,2,0.1985,0.0,2,descriptive treatise,
source_genre,,sentence_cloze,0.1589,0.0,2,0.1475,0.5,2,descriptive treatise,
source_genre,,constrained_generation,0.1834,0.0,1,0.1829,0.0,1,"diary, with selected correspondence",
source_genre,,phrase_cloze,0.0895,1.0,1,0.0966,1.0,1,"diary, with selected correspondence",
source_genre,,sentence_cloze,0.1352,0.0,1,0.1449,0.0,1,"diary, with selected correspondence",
source_genre,,abstention,0.2634,0.0,2,0.2342,0.0,2,economic textbook,
source_genre,,topic_sentence,0.2016,0.0,1,0.1874,0.0,1,economic textbook,
source_genre,,phrase_cloze,0.239,0.0,5,0.204,0.0,5,educational guide,
source_genre,,sentence_cloze,0.2116,0.0,3,0.1818,0.0,3,educational guide,
source_genre,,phrase_cloze,0.1936,0.0,2,0.17,0.0,2,educational textbook,
source_genre,,sentence_cloze,0.2219,0.0,1,0.1772,0.0,1,educational textbook,
source_genre,,topic_sentence,0.1009,0.5,2,0.0946,0.5,2,educational textbook,
source_genre,,abstention,0.298,0.0833,36,0.2791,0.0833,36,encyclopedia,
source_genre,,constrained_generation,0.1815,0.1765,17,0.185,0.2353,17,encyclopedia,
source_genre,,inference,0.1731,0.2632,19,0.1677,0.2632,19,encyclopedia,
source_genre,,knowledge,0.1507,0.3521,71,0.1526,0.4507,71,encyclopedia,
source_genre,,topic_sentence,0.2749,0.0,1,0.3119,0.0,1,encyclopedia,
source_genre,,knowledge,0.1245,1.0,1,0.1344,1.0,1,epic poem,
source_genre,,sentence_cloze,0.1006,1.0,1,0.0749,1.0,1,ethnographic study,
source_genre,,inference,0.1493,0.0,1,0.1418,0.0,1,ethnology,
source_genre,,phrase_cloze,0.1637,0.2,5,0.1737,0.0,5,ethnology,
source_genre,,sentence_cloze,0.0983,0.6667,3,0.1025,0.6667,3,ethnology,
source_genre,,abstention,0.1287,1.0,1,0.129,1.0,1,examination manual,
source_genre,,inference,0.1398,0.4615,13,0.1215,0.6154,13,examination manual,
source_genre,,abstention,0.214,0.5,2,0.2505,0.0,2,guide to early cinema,
source_genre,,phrase_cloze,0.1728,0.0,5,0.1774,0.0,5,handbook,
source_genre,,sentence_cloze,0.1675,0.0,2,0.1689,0.0,2,handbook,
source_genre,,inference,0.2087,0.0,2,0.22,0.0,2,handbook of prosody,
source_genre,,character_modeling,0.2258,0.25,8,0.2267,0.375,8,historical novel,
source_genre,,character_modeling,0.2189,0.1429,7,0.218,0.1429,7,historical romance,
source_genre,,phrase_cloze,0.3163,0.0,2,0.3004,0.0,2,historical study,
source_genre,,constrained_generation,0.2059,0.0,3,0.23,0.0,3,history,
source_genre,,inference,0.1574,0.0,1,0.1354,0.0,1,history,
source_genre,,knowledge,0.169,0.0,1,0.1502,0.0,1,history,
source_genre,,phrase_cloze,0.2367,0.0,8,0.1943,0.25,8,history,
source_genre,,sentence_cloze,0.2034,0.0,5,0.1934,0.0,5,history,
source_genre,,topic_sentence,0.1263,0.6667,3,0.1329,0.3333,3,history,
source_genre,,abstention,0.2842,0.0,2,0.2626,0.0,2,hobbyist textbook,
source_genre,,knowledge,0.3193,0.0,2,0.3123,0.0,2,hobbyist textbook,
source_genre,,phrase_cloze,0.1672,0.1667,6,0.1739,0.3333,6,hobbyist textbook,
source_genre,,sentence_cloze,0.1462,0.3333,3,0.1483,0.3333,3,hobbyist textbook,
source_genre,,phrase_cloze,0.1606,0.0,1,0.16,0.0,1,introduction to skating,
source_genre,,sentence_cloze,0.1987,0.0,2,0.1965,0.0,2,introduction to skating,
source_genre,,constrained_generation,0.1802,0.0,1,0.2052,0.0,1,journal,
source_genre,,phrase_cloze,0.1636,0.2,5,0.1487,0.2,5,journal,
source_genre,,sentence_cloze,0.2287,0.0,3,0.1758,0.0,3,journal,
source_genre,,topic_sentence,0.163,0.0,1,0.1623,0.0,1,journal,
source_genre,,phrase_cloze,0.1324,0.6667,3,0.1489,0.6667,3,lecture on local government,
source_genre,,sentence_cloze,0.0961,1.0,1,0.0998,1.0,1,lecture on local government,
source_genre,,sentence_cloze,0.1667,0.0,2,0.1443,0.5,2,local history,
source_genre,,knowledge,0.2161,0.0,1,0.0807,1.0,1,long poem,
source_genre,,phrase_cloze,0.1967,0.0,1,0.2003,0.0,1,medical journal,
source_genre,,sentence_cloze,0.1608,0.5,2,0.1647,0.0,2,medical journal,
source_genre,,topic_sentence,0.1133,0.5,2,0.1379,0.0,2,medical journal,
source_genre,,phrase_cloze,0.1914,0.0,1,0.1504,0.0,1,medical treatise,
source_genre,,sentence_cloze,0.2158,0.0,2,0.2039,0.0,2,medical treatise,
source_genre,,phrase_cloze,0.1723,0.1667,6,0.1321,0.5,6,memoir,
source_genre,,sentence_cloze,0.2588,0.0,4,0.2278,0.25,4,memoir,
source_genre,,sentence_cloze,0.1641,0.0,2,0.1773,0.0,2,municipal report,
source_genre,,constrained_generation,0.1483,1.0,2,0.1509,0.5,2,narrative poem,
source_genre,,inference,0.2009,0.0,1,0.1598,0.0,1,narrative poem,
source_genre,,constrained_generation,0.2147,0.0,1,0.2501,0.0,1,newspaper,
source_genre,,knowledge,0.4495,0.0,1,0.4744,0.0,1,newspaper,
source_genre,,constrained_generation,0.161,0.5,4,0.1491,0.5,4,newspaper article,
source_genre,,knowledge,0.1228,1.0,1,0.1017,1.0,1,newspaper article,
source_genre,,phrase_cloze,0.1886,0.5,2,0.2409,0.0,2,newspaper article,
source_genre,,abstention,0.4589,0.0,3,0.3987,0.0,3,novel,
source_genre,,character_modeling,0.2366,0.2308,52,0.2146,0.2308,52,novel,
source_genre,,phrase_cloze,0.219,0.0,3,0.2154,0.0,3,novel,
source_genre,,sentence_cloze,0.2566,0.0,3,0.2444,0.0,3,novel,
source_genre,,character_modeling,0.2055,0.1111,9,0.1996,0.2222,9,novel with ethnographic elements,
source_genre,,phrase_cloze,0.1435,0.0,1,0.1185,1.0,1,pedagogical guide,
source_genre,,sentence_cloze,0.1555,0.0,2,0.1589,0.5,2,pedagogical guide,
source_genre,,topic_sentence,0.1411,0.5,2,0.1278,0.5,2,pedagogical guide,
source_genre,,knowledge,0.2372,0.0,1,0.2023,0.0,1,play,
source_genre,,constrained_generation,0.2459,0.25,4,0.2628,0.25,4,popular magazine,
source_genre,,topic_sentence,0.1897,0.3333,3,0.1895,0.3333,3,popular magazine,
source_genre,,sentence_cloze,0.1796,0.0,2,0.1496,0.0,2,practical guide,
source_genre,,topic_sentence,0.1094,0.0,1,0.1273,0.0,1,practical guide,
source_genre,,phrase_cloze,0.2092,0.0,4,0.1908,0.0,4,practical guide to conduct,
source_genre,,sentence_cloze,0.2112,0.0,3,0.1921,0.0,3,practical guide to conduct,
source_genre,,phrase_cloze,0.3848,0.0,1,0.3424,0.0,1,practical guide to mathematical techniques,
source_genre,,sentence_cloze,0.1371,0.0,1,0.1876,0.0,1,practical guide to mathematical techniques,
source_genre,,topic_sentence,0.1426,0.0,2,0.1507,0.0,2,practical guide to radio,
source_genre,,constrained_generation,0.1748,0.6667,6,0.1503,0.6667,6,practical manual,
source_genre,,knowledge,0.1813,0.5,2,0.1855,0.5,2,practical manual,
source_genre,,constrained_generation,0.2422,0.0,1,0.2134,0.0,1,prize essay,
source_genre,,inference,0.1687,0.0,1,0.0615,1.0,1,prize essay,
source_genre,,phrase_cloze,0.2579,0.0,5,0.2384,0.0,5,public address,
source_genre,,sentence_cloze,0.2169,0.0,3,0.1919,0.0,3,public address,
source_genre,,constrained_generation,0.1678,1.0,1,0.218,0.0,1,reference work,
source_genre,,knowledge,0.3255,0.0,1,0.2,0.0,1,reference work,
source_genre,,phrase_cloze,0.2343,0.0,2,0.1763,0.0,2,register of laws,
source_genre,,sentence_cloze,0.1859,0.5,2,0.1988,0.5,2,register of laws,
source_genre,,constrained_generation,0.2362,0.0,3,0.2107,0.0,3,religious periodical,
source_genre,,phrase_cloze,0.1088,0.5,2,0.1197,0.5,2,rhetorical address,
source_genre,,sentence_cloze,0.2129,0.0,1,0.2245,0.0,1,rhetorical address,
source_genre,,constrained_generation,0.1667,0.0,4,0.1586,0.5,4,science and religion discourse,
source_genre,,phrase_cloze,0.2769,0.2,5,0.2191,0.0,5,science and religion discourse,
source_genre,,sentence_cloze,0.1933,0.0,3,0.1612,0.3333,3,science and religion discourse,
source_genre,,sentence_cloze,0.144,0.0,1,0.1122,0.0,1,science and religion lectures,
source_genre,,abstention,0.2954,0.0,2,0.2821,0.0,2,scientific journal,
source_genre,,phrase_cloze,0.1822,0.0,5,0.1437,0.0,5,serial,
source_genre,,sentence_cloze,0.2109,0.0,3,0.1967,0.0,3,serial,
source_genre,,phrase_cloze,0.1727,0.0,2,0.1664,0.0,2,series of lectures on philosophy,
source_genre,,sentence_cloze,0.1938,0.0,1,0.1657,0.0,1,series of lectures on philosophy,
source_genre,,phrase_cloze,0.2139,0.0,3,0.2045,0.0,3,short medical treatise,
source_genre,,constrained_generation,0.2421,0.0,1,0.2616,0.0,1,social treatise,
source_genre,,knowledge,0.1542,0.0,1,0.1301,1.0,1,social treatise,
source_genre,,phrase_cloze,0.1761,0.5,2,0.187,0.0,2,social treatise,
source_genre,,inference,0.2229,1.0,1,0.205,1.0,1,sonnet,
source_genre,,character_modeling,0.2092,0.1,10,0.2126,0.2,10,story for children,
source_genre,,constrained_generation,0.0676,1.0,1,0.0912,1.0,1,story of exploration,
source_genre,,phrase_cloze,0.229,0.0,1,0.2167,0.0,1,story of exploration,
source_genre,,sentence_cloze,0.1731,0.0,2,0.1664,0.5,2,story of exploration,
source_genre,,character_modeling,0.2924,0.0,5,0.2264,0.0,5,story of wartime espionage,
source_genre,,phrase_cloze,0.1408,0.2,5,0.1388,0.4,5,technical handbook,
source_genre,,sentence_cloze,0.179,0.0,3,0.1491,0.0,3,technical handbook,
source_genre,,constrained_generation,0.2055,0.0,7,0.1913,0.2857,7,textbook,
source_genre,,inference,0.1545,0.5,32,0.1352,0.5625,32,textbook,
source_genre,,knowledge,0.036,1.0,1,0.0453,1.0,1,textbook,
source_genre,,phrase_cloze,0.1548,0.1667,6,0.1467,0.3333,6,textbook,
source_genre,,sentence_cloze,0.1721,0.0,4,0.1566,0.0,4,textbook,
source_genre,,topic_sentence,0.1644,0.25,4,0.1859,0.0,4,textbook,
source_genre,,constrained_generation,0.1747,0.0,1,0.1923,0.0,1,textbook for the building trades,
source_genre,,abstention,0.2797,0.0,3,0.2818,0.0,3,textbook on cooking,
source_genre,,phrase_cloze,0.2403,0.0,1,0.2238,0.0,1,textbook on cooking,
source_genre,,sentence_cloze,0.1929,0.0,2,0.1037,1.0,2,textbook on cooking,
source_genre,,topic_sentence,0.0876,1.0,1,0.1142,0.0,1,textbook on cooking,
source_genre,,constrained_generation,0.2003,0.0,2,0.1897,0.0,2,theological treatise,
source_genre,,abstention,0.3335,0.0,2,0.3268,0.0,2,travel guide,
source_genre,,constrained_generation,0.2316,0.0,2,0.2286,0.0,2,travel guide,
source_genre,,constrained_generation,0.1587,0.4286,7,0.1623,0.5714,7,travelogue,
source_genre,,phrase_cloze,0.1988,0.0,3,0.1849,0.0,3,treatise,
source_genre,,sentence_cloze,0.1708,0.0,4,0.1702,0.0,4,treatise,
source_genre,,phrase_cloze,0.1937,0.0,2,0.1249,0.0,2,treaty,
source_genre,,sentence_cloze,0.1991,0.0,2,0.1745,0.0,2,treaty,
source_genre,,constrained_generation,0.2149,0.0,1,0.2075,0.0,1,volume of personal letters,
source_genre,,phrase_cloze,0.1219,0.5,2,0.2012,0.0,2,volume of personal letters,
source_genre,,sentence_cloze,0.1199,0.0,1,0.1389,0.0,1,volume of personal letters,
source_genre,,sentence_cloze,0.1933,0.0,3,0.169,0.0,3,work of Scriptural interpretation,
source_genre,,topic_sentence,0.1902,0.0,1,0.178,0.0,1,work of Scriptural interpretation,
source_genre,,phrase_cloze,0.1725,0.3333,3,0.2053,0.0,3,work of biography,
source_genre,,sentence_cloze,0.2481,0.0,2,0.2535,0.0,2,work of biography,
source_genre,,phrase_cloze,0.3007,0.0,1,0.2157,0.0,1,work of description and travel,
source_genre,,sentence_cloze,0.2017,0.0,1,0.2098,0.0,1,work of description and travel,
source_genre,,phrase_cloze,0.1725,0.0,5,0.1605,0.0,5,work of history and social description,
source_genre,,sentence_cloze,0.2393,0.0,2,0.2118,0.0,2,work of history and social description,
date_bin,,abstention,0.2533,0.2667,15,0.2399,0.2,15,,1875-1899
date_bin,,character_modeling,0.2194,0.2162,74,0.2166,0.2162,74,,1875-1899
date_bin,,constrained_generation,0.1943,0.26,50,0.195,0.32,50,,1875-1899
date_bin,,inference,0.1584,0.4444,63,0.1479,0.4762,63,,1875-1899
date_bin,,knowledge,0.1583,0.3472,72,0.1579,0.4444,72,,1875-1899
date_bin,,phrase_cloze,0.2163,0.1282,78,0.192,0.1282,78,,1875-1899
date_bin,,sentence_cloze,0.1839,0.1034,58,0.171,0.1552,58,,1875-1899
date_bin,,topic_sentence,0.1998,0.1429,7,0.2012,0.1429,7,,1875-1899
date_bin,,abstention,0.3132,0.05,40,0.2936,0.05,40,,1900-1924
date_bin,,character_modeling,0.2832,0.0588,17,0.2071,0.2353,17,,1900-1924
date_bin,,constrained_generation,0.1896,0.1818,44,0.1852,0.2045,44,,1900-1924
date_bin,,inference,0.1519,0.2727,11,0.1192,0.4545,11,,1900-1924
date_bin,,knowledge,0.173,0.3846,13,0.1629,0.4615,13,,1900-1924
date_bin,,phrase_cloze,0.1821,0.1163,86,0.1671,0.1744,86,,1900-1924
date_bin,,sentence_cloze,0.2009,0.0645,62,0.1811,0.1452,62,,1900-1924
date_bin,,topic_sentence,0.1338,0.3889,18,0.1427,0.1667,18,,1900-1924
date_bin,,constrained_generation,0.2147,0.0,1,0.2501,0.0,1,,Other
,American,abstention,0.2509,0.2083,24,0.2442,0.125,24,,
,American,character_modeling,0.2274,0.1071,28,0.2158,0.1786,28,,
,American,constrained_generation,0.1948,0.2692,52,0.1894,0.2885,52,,
,American,inference,0.1487,0.4808,52,0.1354,0.5192,52,,
,American,knowledge,0.1625,0.3594,64,0.1656,0.4219,64,,
,American,phrase_cloze,0.2031,0.08,100,0.1801,0.14,100,,
,American,sentence_cloze,0.1939,0.0933,75,0.1776,0.16,75,,
,American,topic_sentence,0.1448,0.3478,23,0.1512,0.1739,23,,
,British Isles,abstention,0.3151,0.05,20,0.3012,0.05,20,,
,British Isles,character_modeling,0.2314,0.2364,55,0.2139,0.2364,55,,
,British Isles,constrained_generation,0.1942,0.1316,38,0.1957,0.2105,38,,
,British Isles,inference,0.1796,0.2857,21,0.1641,0.381,21,,
,British Isles,knowledge,0.1538,0.35,20,0.1367,0.55,20,,
,British Isles,phrase_cloze,0.1924,0.2,35,0.1811,0.2,35,,
,British Isles,sentence_cloze,0.1934,0.0345,29,0.1733,0.1379,29,,
,British Isles,topic_sentence,0.2749,0.0,1,0.3119,0.0,1,,
,Canadian,knowledge,0.169,0.0,1,0.1502,0.0,1,,
,Canadian,phrase_cloze,0.2401,0.0,7,0.199,0.2857,7,,
,Canadian,sentence_cloze,0.1852,0.0,3,0.1606,0.0,3,,
,Chinese,phrase_cloze,0.1219,0.5,2,0.2012,0.0,2,,
,Chinese,sentence_cloze,0.1199,0.0,1,0.1389,0.0,1,,
,Chinese-American,constrained_generation,0.2149,0.0,1,0.2075,0.0,1,,
,Indian,constrained_generation,0.1382,0.5,4,0.165,0.5,4,,
,Italian,topic_sentence,0.2016,0.0,1,0.1874,0.0,1,,
,Japanese,phrase_cloze,0.2128,0.0,1,0.1618,0.0,1,,
,Japanese,sentence_cloze,0.2308,0.0,2,0.2425,0.0,2,,
,South African,character_modeling,0.2444,0.125,8,0.218,0.25,8,,
,US,phrase_cloze,0.1717,0.4,5,0.1444,0.4,5,,
,US,sentence_cloze,0.2534,0.0,2,0.2258,0.0,2,,
,Unknown,abstention,0.3641,0.0,11,0.3145,0.0909,11,,
,Unknown,inference,0.1493,0.0,1,0.1418,0.0,1,,
,Unknown,phrase_cloze,0.1756,0.1667,12,0.1724,0.0,12,,
,Unknown,sentence_cloze,0.1546,0.3333,6,0.1496,0.3333,6,,
,multiple,phrase_cloze,0.1937,0.0,2,0.1249,0.0,2,,
,multiple,sentence_cloze,0.1991,0.0,2,0.1745,0.0,2,,
